Field,Description,Type,Coverage,Users,Alphas
search_interest_14d_corporate_name,14-day rolling average of daily Google Trends search-interest for company-name queries in the USA; 0–100 scale (D1),MATRIX,90%,2,5
search_interest_14d_equity_symbol,14-day rolling average of daily Google Trends search-interest for ticker-symbol queries in the USA; 0–100 scale (D1),MATRIX,64%,2,2
search_interest_1y_corporate_name,364-day rolling average of daily Google Trends search-interest for company-name queries in the USA; 0–100 scale (D1),MATRIX,85%,0,0
search_interest_1y_equity_symbol,364-day rolling average of daily Google Trends search-interest for ticker-symbol queries in the USA; 0–100 scale (D1),MATRIX,61%,1,3
search_interest_28d_corporate_name,28-day rolling average of daily Google Trends search-interest for company-name queries in the USA; 0–100 scale (D1),MATRIX,90%,1,1
search_interest_28d_equity_symbol,28-day rolling average of daily Google Trends search-interest for ticker-symbol queries in the USA; 0–100 scale (D1),MATRIX,64%,1,1
search_interest_7d_corporate_name,7-day rolling average of daily Google Trends search-interest for company-name queries in the USA; 0–100 scale (D1),MATRIX,90%,2,2
search_interest_7d_equity_symbol,7-day rolling average of daily Google Trends search-interest for ticker-symbol queries in the USA; 0–100 scale (D1),MATRIX,64%,0,0
search_interest_84d_corporate_name,84-day rolling average of daily Google Trends search-interest for company-name queries in the USA; 0–100 scale (D1),MATRIX,90%,1,7
search_interest_84d_equity_symbol,84-day rolling average of daily Google Trends search-interest for ticker-symbol queries in the USA; 0–100 scale (D1),MATRIX,64%,1,1
search_interest_today_corporate_name,Latest complete calendar day Google Trends search-interest value for company-name queries in the USA; daily point-in-time value on Google’s 0–100 scale (D1 delay),MATRIX,89%,3,4
search_interest_today_equity_symbol,Latest complete calendar day Google Trends search-interest value for ticker-symbol queries in the USA; daily point-in-time value on Google’s 0–100 scale (D1 delay),MATRIX,63%,2,2
