Field,Description,Type,Coverage,Users,Alphas
answer_chunk_count,Total number of semantic chunks in the Answers section of the conference call (per stock-date event),MATRIX,85%,6,7
assetutilization_negative_score,Negative probability score for asset utilization statements in the chunk,VECTOR,86%,18,18
assetutilization_negative_score_fast_d1,Negative probability score for asset utilization statements in the chunk,VECTOR,85%,37,45
assetutilization_neutral_score,Neutral probability score for asset utilization statements in the chunk,VECTOR,86%,3,4
assetutilization_neutral_score_fast_d1,Neutral probability score for asset utilization statements in the chunk,VECTOR,85%,5,5
assetutilization_positive_score,Positive probability score for asset utilization statements in the chunk,VECTOR,86%,16,25
assetutilization_positive_score_fast_d1,Positive probability score for asset utilization statements in the chunk,VECTOR,85%,36,46
assetutilization_sentiment_polarity,Signed net sentiment polarity for asset utilization in the chunk (approximately −1 to +1),VECTOR,86%,29,50
assetutilization_sentiment_polarity_fast_d1,Signed net sentiment polarity for asset utilization in the chunk (approximately −1 to +1),VECTOR,85%,49,68
cashflow_negative_score,Negative probability score for cash flow statements in the chunk,VECTOR,86%,5,11
cashflow_negative_score_fast_d1,Negative probability score for cash flow statements in the chunk,VECTOR,85%,5,5
cashflow_neutral_score,Neutral probability score for cash flow statements in the chunk,VECTOR,86%,1,1
cashflow_neutral_score_fast_d1,Neutral probability score for cash flow statements in the chunk,VECTOR,85%,4,4
cashflow_positive_score,Positive probability score for cash flow statements in the chunk,VECTOR,86%,4,5
cashflow_positive_score_fast_d1,Positive probability score for cash flow statements in the chunk,VECTOR,85%,16,19
cashflow_sentiment_polarity,Signed net sentiment polarity for cash flow in the chunk (approximately −1 to +1),VECTOR,86%,8,9
cashflow_sentiment_polarity_fast_d1,Signed net sentiment polarity for cash flow in the chunk (approximately −1 to +1),VECTOR,85%,17,21
chunk_relevance_z0_flag,"Indicator if the chunk relevance z-score is above 0 (1 if above, 0 otherwise)",VECTOR,86%,0,0
chunk_relevance_z0_flag_fast_d1,"Indicator if the chunk relevance z-score is above 0 (1 if above, 0 otherwise)",VECTOR,85%,1,1
chunk_relevance_z1_flag,"Indicator if the chunk relevance z-score is above 1 (1 if above, 0 otherwise)",VECTOR,86%,1,1
chunk_relevance_z1_flag_fast_d1,"Indicator if the chunk relevance z-score is above 1 (1 if above, 0 otherwise)",VECTOR,85%,0,0
