Field,Description,Type,Coverage,Users,Alphas
aggregated_sentiment_value_1,"Aggregated sentiment value derived from social media sources, method 1.",MATRIX,94%,4,6
aggregated_sentiment_value_10,"Aggregated sentiment value derived from social media sources, method 10.",MATRIX,91%,1,1
aggregated_sentiment_value_11,"Aggregated sentiment value derived from social media sources, method 11.",MATRIX,91%,1,1
aggregated_sentiment_value_12,"Aggregated sentiment value derived from social media sources, method 12.",MATRIX,91%,1,2
aggregated_sentiment_value_13,"Aggregated sentiment value derived from social media sources, method 13.",MATRIX,82%,0,0
aggregated_sentiment_value_14,"Aggregated sentiment value derived from social media sources, method 14.",MATRIX,82%,0,0
aggregated_sentiment_value_15,"Aggregated sentiment value derived from social media sources, method 15.",MATRIX,82%,1,1
aggregated_sentiment_value_16,"Aggregated sentiment value derived from social media sources, method 16.",MATRIX,82%,0,0
aggregated_sentiment_value_17,"Aggregated sentiment value derived from social media sources, method 17.",MATRIX,82%,0,0
aggregated_sentiment_value_18,"Aggregated sentiment value derived from social media sources, method 18.",MATRIX,82%,0,0
aggregated_sentiment_value_2,"Aggregated sentiment value derived from social media sources, method 2.",MATRIX,94%,1,1
aggregated_sentiment_value_3,"Aggregated sentiment value derived from social media sources, method 3.",MATRIX,94%,0,0
aggregated_sentiment_value_4,"Aggregated sentiment value derived from social media sources, method 4.",MATRIX,94%,1,2
aggregated_sentiment_value_5,"Aggregated sentiment value derived from social media sources, method 5.",MATRIX,94%,1,1
aggregated_sentiment_value_6,"Aggregated sentiment value derived from social media sources, method 6.",MATRIX,94%,0,0
aggregated_sentiment_value_7,"Aggregated sentiment value derived from social media sources, method 7.",MATRIX,91%,0,0
aggregated_sentiment_value_8,"Aggregated sentiment value derived from social media sources, method 8.",MATRIX,91%,0,0
aggregated_sentiment_value_9,"Aggregated sentiment value derived from social media sources, method 9.",MATRIX,91%,1,1
market_relevance_score_1,"Score indicating the relevance of social media activity to market impact, filter 1.",MATRIX,100%,1,1
market_relevance_score_10,"Score indicating the relevance of social media activity to market impact, filter 10.",MATRIX,100%,0,0
market_relevance_score_11,"Score indicating the relevance of social media activity to market impact, filter 11.",MATRIX,100%,1,1
market_relevance_score_12,"Score indicating the relevance of social media activity to market impact, filter 12.",MATRIX,100%,13,13
market_relevance_score_13,"Score indicating the relevance of social media activity to market impact, filter 13.",MATRIX,100%,0,0
market_relevance_score_14,"Score indicating the relevance of social media activity to market impact, filter 14.",MATRIX,100%,0,0
market_relevance_score_15,"Score indicating the relevance of social media activity to market impact, filter 15.",MATRIX,100%,1,1
market_relevance_score_16,"Score indicating the relevance of social media activity to market impact, filter 16.",MATRIX,100%,0,0
market_relevance_score_17,"Score indicating the relevance of social media activity to market impact, filter 17.",MATRIX,100%,1,1
market_relevance_score_18,"Score indicating the relevance of social media activity to market impact, filter 18.",MATRIX,100%,0,0
market_relevance_score_19,"Score indicating the relevance of social media activity to market impact, filter 19.",MATRIX,100%,0,0
market_relevance_score_2,"Score indicating the relevance of social media activity to market impact, filter 2.",MATRIX,100%,0,0
